"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"263618","2014","2014","2014","US","United States","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","67.9","*","50 States + DC: US Median","","","","","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","1","","","",""
"263451","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","61.4","","","59.4","63.4","32.84057112200048","-86.63186076199969","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","2","","","",""
"263443","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","67.6","","","64.8","70.3","64.84507995700051","-147.72205903599973","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","3","","","",""
"263468","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","60.4","","","58.5","62.3","34.865970280000454","-111.76381127699972","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","4","","","",""
"263460","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","59.4","","","56.4","62.3","34.74865012400045","-92.27449074299966","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","5","","","",""
"263476","2014","2014","2014","CA","California","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","67.0","","","65.1","68.8","37.63864012300047","-120.99999953799971","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","6","","","",""
"263090","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","69.6","","","68.1","71.0","38.843840757000464","-106.13361092099967","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","7","","","",""
"263098","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","77.4","","","75.4","79.3","41.56266102000046","-72.64984095199964","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","8","","","",""
"263114","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","67.9","","","65.1","70.5","39.008830667000495","-75.57774116799965","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","9","","","",""
"263106","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","AgeAdjPrev","Age-adjusted Prevalence","72.4","","","69.0","75.6","38.907192","-77.036871","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","10","","","",""
