"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"264114","2014","2014","2014","US","United States","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","68.6","*","50 States + DC: US Median","","","","","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","1","","","",""
"262133","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","61.0","","","59.2","62.9","32.84057112200048","-86.63186076199969","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","2","","","",""
"263676","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","67.8","","","65.0","70.5","64.84507995700051","-147.72205903599973","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","3","","","",""
"263696","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","61.1","","","59.3","62.9","34.865970280000454","-111.76381127699972","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","4","","","",""
"263688","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","59.1","","","56.4","61.8","34.74865012400045","-92.27449074299966","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","5","","","",""
"263704","2014","2014","2014","CA","California","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","67.3","","","65.5","69.1","37.63864012300047","-120.99999953799971","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","6","","","",""
"263712","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","69.8","","","68.4","71.2","38.843840757000464","-106.13361092099967","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","7","","","",""
"263720","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","77.6","","","75.7","79.4","41.56266102000046","-72.64984095199964","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","8","","","",""
"263737","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","68.6","","","66.0","71.1","39.008830667000495","-75.57774116799965","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","9","","","",""
"263728","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","72.7","","","69.2","75.9","38.907192","-77.036871","","ORH","ORH1_1","","Gender","GENDER","Female","GENF","","","","","","","","","10","","","",""
