ID,Year,Location,Topic,Data Type,Data Value,Category
126406,2012,United States,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,39.4,Female
126045,2012,Alabama,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,51.6,Female
126037,2012,Alaska,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.3,Female
126061,2012,Arizona,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,35.4,Female
126053,2012,Arkansas,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,46.4,Female
126069,2012,California,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,28,Female
126077,2012,Colorado,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,31.1,Female
126085,2012,Connecticut,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.4,Female
126101,2012,Delaware,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.3,Female
126093,2012,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,39.7,Female
126555,2012,Florida,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.4,Female
126563,2012,Georgia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.6,Female
126571,2012,Guam,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,54,Female
126579,2012,Hawaii,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,28.6,Female
126595,2012,Idaho,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,33.2,Female
126603,2012,Illinois,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,41.8,Female
126611,2012,Indiana,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,41.3,Female
126587,2012,Iowa,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.1,Female
126619,2012,Kansas,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.1,Female
126627,2012,Kentucky,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,50.6,Female
126635,2012,Louisiana,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,56.3,Female
126659,2012,Maine,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,46.2,Female
126651,2012,Maryland,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.3,Female
126643,2012,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,39.4,Female
126667,2012,Michigan,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,34.3,Female
126676,2012,Minnesota,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,30,Female
126692,2012,Mississippi,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,52.3,Female
126684,2012,Missouri,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,49.6,Female
126700,2012,Montana,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,39.1,Female
126724,2012,Nebraska,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,32.8,Female
126756,2012,Nevada,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.7,Female
126732,2012,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.2,Female
126740,2012,New Jersey,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,39.5,Female
126748,2012,New Mexico,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.6,Female
126764,2012,New York,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.8,Female
126708,2012,North Carolina,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,46.8,Female
126716,2012,North Dakota,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,44.3,Female
126327,2012,Ohio,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,43.5,Female
126335,2012,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,45.9,Female
126343,2012,Oregon,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,32.6,Female
126351,2012,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.4,Female
126359,2012,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,61.5,Female
126367,2012,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.1,Female
126375,2012,South Carolina,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,44.3,Female
126383,2012,South Dakota,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,40.8,Female
126391,2012,Tennessee,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,50.9,Female
126399,2012,Texas,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,32.4,Female
126410,2012,Utah,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,29.7,Female
126107,2012,Vermont,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,40,Female
126426,2012,Virgin Islands,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,,Female
126418,2012,Virginia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.8,Female
126115,2012,Washington,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,30.6,Female
126131,2012,West Virginia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,63.7,Female
126123,2012,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,34.3,Female
126139,2012,Wyoming,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.4,Female
